SpellId,TotemSlot
1535,0
3599,0
4971,0
5605,0
6274,0
6363,0
6364,0
6365,0
8181,0
8190,0
8227,0
8249,0
8264,0
8498,0
8499,0
10437,0
10438,0
10478,0
10479,0
10526,0
10585,0
10586,0
10587,0
11314,0
11315,0
11899,0
15038,0
15867,0
16387,0
18975,0
22047,0
23419,0
24309,0
25533,0
25537,0
25552,0
25557,0
25560,0
27623,0
2894,0
30706,0
57720,0
57721,0
57722,0
58580,1
58649,0
58652,0
58656,0
58704,0
58731,0
58734,0
58741,0
61649,0
61657,0
2062,1
2484,1
5730,1
6390,1
6391,1
6392,1
8071,1
8075,1
8143,1
8154,1
8155,1
8160,1
8161,1
10406,1
10407,1
10408,1
10427,1
10428,1
10442,1
15786,1
23420,1
23789,1
25000,1
25361,1
25508,1
25509,1
25525,1
25528,1
57622,1
58581,1
58582,1
58646,1
58751,1
58753,1
5394,2
5675,2
6375,2
6377,2
8166,2
8170,2
8184,2
8262,2
10462,2
10463,2
10495,2
10496,2
10497,2
10537,2
10538,2
16190,2
17354,2
17359,2
23422,2
24854,2
25563,2
25567,2
25570,2
58737,2
58755,2
58756,2
58757,2
58771,2
58773,2
58774,2
3738,3
6495,3
8177,3
8512,3
8835,3
10595,3
10600,3
10601,3
10613,3
10614,3
10627,3
15107,3
15111,3
15112,3
15787,3
23423,3
25359,3
25574,3
25585,3
25587,3
25908,3
27621,3
58739,3
58745,3
58746,3
